,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid,Label
0,1137.5,954.5,279.125,1134.625,413.375,259.375,136.75,1471.25,687.0,735.375,41.35,40.07,1
1,1265.375,1267.75,239.375,1263.625,409.875,235.5,99.0,1204.125,740.75,666.375,40.81,39.82,1
2,776.0,800.0,562.75,727.5,445.375,267.375,168.875,729.75,339.375,349.5,41.72,37.0,1
3,792.75,1150.625,133.5,811.875,288.25,205.125,125.25,1181.25,470.375,658.25,40.63,39.04,1
4,1448.25,1244.25,553.875,1426.5,586.5,334.75,172.5,1552.25,883.375,823.375,41.58,37.19,1
5,739.625,621.875,124.875,748.75,256.5,190.125,115.25,1078.25,429.375,338.875,39.83,42.39,1
6,1095.75,1282.75,187.0,1061.75,544.25,317.625,195.125,1157.0,632.0,830.0,42.47,37.24,1
7,506.875,823.75,64.875,514.875,181.375,140.375,89.5,799.125,311.5,460.75,39.04,43.45,1
8,743.125,665.0,144.875,744.0,254.125,171.875,97.75,914.5,433.5,422.25,39.59,43.03,1
9,820.125,942.875,202.25,819.0,280.875,182.875,104.875,1232.625,463.5,530.75,42.16,35.81,1
10,796.0,1121.375,115.0,801.0,267.5,200.375,115.5,1343.25,537.375,936.5,40.8,37.55,1
11,781.625,976.125,112.75,783.5,269.125,217.625,137.75,1383.0,533.0,711.75,41.05,33.89,1
12,1735.125,1459.75,538.5,1738.625,319.625,218.6875,153.25,1703.625,1109.875,1112.75,41.63,37.29,1
13,809.625,1481.0,115.375,820.625,230.625,147.75,69.875,1223.125,497.0,1108.875,41.96,37.02,1
14,1025.5,1542.5,154.0,1030.0,363.375,253.25,143.0,1289.125,664.875,698.875,40.43,39.55,1
15,1206.625,1284.875,218.125,1207.875,410.0,254.125,128.125,1279.125,751.375,865.125,38.9,43.03,1
16,692.75,932.375,340.75,657.375,324.375,208.5,128.0,985.875,435.75,854.625,38.4,44.07,1
17,646.625,790.125,298.625,637.0,337.5,247.625,156.5,832.875,367.125,435.5,40.12,41.28,1
18,1370.125,906.0,279.5,1364.25,467.375,276.125,138.375,1313.375,821.5,579.125,39.65,41.83,1
19,489.0,1087.25,338.0,444.0,329.125,229.625,158.625,1241.4375,359.25,707.75,40.84,37.61,1
20,864.625,1090.5,444.625,834.25,415.375,280.625,175.75,1198.25,491.875,680.75,39.53,43.34,1
