S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Label
507.0,873.5,108.75,525.375,200.375,327.125,345.0,602.75,802.25,656.25,Positive
822.375,1457.125,108.625,911.125,189.5,203.5,908.75,1393.375,1067.625,821.25,Positive
434.0,1479.875,62.25,472.375,124.0,137.125,41.125,1136.625,1061.5,451.25,Positive
512.75,1054.0,24.625,529.625,156.875,279.125,278.25,612.25,725.375,721.125,Positive
320.875,947.375,57.125,338.0,152.875,227.5,77.0,459.875,699.375,442.125,Positive
995.0,1357.375,230.25,1005.0,302.625,474.0,985.625,1034.875,915.875,1131.875,Positive
444.0,1482.375,43.75,507.125,211.75,222.125,58.375,1022.125,1119.75,451.5,Positive
547.25,1053.125,70.5,571.75,208.25,316.625,277.0,697.25,804.125,672.75,Positive
691.25,1877.25,59.625,742.125,218.0,235.125,322.125,1253.0,1501.75,698.875,Positive
1243.625,1100.625,312.25,1165.0,465.75,763.0,1804.5,1153.0,965.125,1680.875,Positive
308.375,986.0,45.375,357.125,162.0,150.0,146.5,737.875,821.5,442.125,Negative
1186.25,2003.125,87.625,1161.5,724.25,724.875,476.625,1301.75,1377.5,1287.75,Negative
984.0,1757.875,98.125,1055.25,427.875,408.75,846.75,1533.375,1252.375,1016.25,Negative
1257.5,1039.375,212.875,1139.5,742.625,1124.375,334.0,1025.0,1419.625,1574.375,Negative
706.75,1735.0,129.625,733.625,371.125,358.125,724.875,1088.0,1299.75,967.875,Negative
763.0,1784.875,51.125,796.0,298.375,270.75,653.375,1138.125,1311.0,993.25,Negative
551.25,1411.625,65.875,586.25,273.375,281.75,470.375,923.0,936.5,725.5,Negative
844.125,1397.375,166.0,877.75,512.875,499.875,868.0,1076.375,1068.75,1067.375,Negative
493.625,1747.875,29.375,540.5,258.375,234.125,237.75,997.75,1286.25,724.25,Negative
654.25,1256.625,113.25,715.875,336.875,318.25,684.75,985.25,1075.5,874.75,Negative
