time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1602.125,1169.625,1645.625,2021.75,1959.25,1703.875,568.5,2202.0,2047.25,1657.0,31.57,51.21
0.1,1602.125,1169.5,1645.625,2021.625,1959.125,1703.875,568.625,2201.75,2047.125,1656.875,31.6,51.28
0.2,1602.0,1169.5,1645.625,2021.625,1959.125,1703.75,568.75,2201.5,2046.875,1656.875,31.59,51.21
0.3,1601.875,1169.375,1645.625,2021.5,1959.125,1703.75,568.625,2201.25,2046.875,1656.75,31.57,51.25
0.4,1601.875,1169.125,1645.625,2021.375,1959.0,1703.75,568.125,2201.0,2046.75,1656.625,31.62,51.22
0.5,1601.875,1169.125,1645.625,2021.25,1959.0,1703.625,568.0,2200.75,2046.5,1656.625,31.6,51.24
0.6,1601.75,1169.0,1645.625,2021.25,1959.0,1703.5,567.875,2200.625,2046.375,1656.5,31.6,51.2
0.7,1601.75,1168.75,1645.75,2021.0,1958.875,1703.5,568.0,2200.25,2046.25,1656.5,31.62,51.17
0.8,1601.625,1168.75,1645.625,2021.0,1958.875,1703.5,567.875,2200.0,2046.125,1656.375,31.6,51.2
0.9,1601.5,1168.625,1645.625,2020.875,1958.875,1703.375,567.75,2199.875,2046.0,1656.375,31.6,51.22
1.0,1601.5,1168.5,1645.625,2020.875,1958.875,1703.375,567.75,2199.625,2045.875,1656.25,31.6,51.25
1.1,1601.5,1168.375,1645.625,2020.75,1958.875,1703.25,567.75,2199.25,2045.625,1656.25,31.6,51.18
1.2,1601.375,1168.25,1645.625,2020.75,1958.75,1703.25,567.75,2199.125,2045.625,1656.125,31.6,51.2
1.3,1601.25,1168.125,1645.625,2020.625,1958.75,1703.25,567.625,2198.875,2045.5,1656.0,31.6,51.22
1.4,1601.25,1168.0,1645.625,2020.5,1958.75,1703.125,567.25,2198.625,2045.25,1656.0,31.62,51.2
1.5,1601.125,1168.0,1645.625,2020.5,1958.625,1703.0,567.0,2198.375,2045.125,1655.875,31.63,51.21
1.6,1601.125,1167.75,1645.75,2020.25,1958.5,1703.0,567.25,2198.125,2045.0,1655.75,31.63,51.21
1.7,1601.0,1167.75,1645.625,2020.25,1958.5,1702.875,567.125,2197.875,2044.75,1655.75,31.6,51.2
1.8,1600.875,1167.625,1645.625,2020.25,1958.5,1702.875,566.875,2197.625,2044.75,1655.5,31.62,51.18
1.9,1600.875,1167.375,1645.625,2020.125,1958.375,1702.875,566.75,2197.5,2044.625,1655.5,31.62,51.14
2.0,1600.875,1167.375,1645.75,2020.0,1958.375,1702.75,566.625,2197.25,2044.375,1655.5,31.62,51.14
2.1,1600.625,1167.25,1645.625,2019.875,1958.375,1702.75,566.75,2197.0,2044.25,1655.375,31.62,51.17
2.2,1600.625,1167.0,1645.625,2019.625,1958.25,1702.75,566.625,2196.75,2044.25,1655.25,31.63,51.16
2.3,1600.5,1167.0,1645.5,2019.625,1958.25,1702.625,566.75,2196.5,2043.875,1655.25,31.63,51.14
2.4,1600.375,1166.75,1645.5,2019.5,1958.25,1702.75,566.25,2196.25,2043.875,1655.125,31.6,51.14
2.5,1600.375,1166.625,1645.5,2019.375,1958.125,1703.5,566.125,2195.875,2043.875,1655.0,31.6,51.14
2.6,1600.25,1166.625,1645.5,2019.5,1958.0,1704.875,566.0,2195.75,2044.0,1655.125,31.62,51.12
2.7,1600.125,1167.0,1645.375,2019.875,1958.25,1707.0,565.75,2195.875,2044.75,1655.25,31.6,51.08
2.8,1600.125,1167.5,1645.375,2020.375,1958.375,1710.125,566.125,2196.125,2046.375,1656.125,31.65,51.06
2.9,1600.125,1168.75,1645.375,2021.375,1958.75,1713.875,565.875,2197.125,2049.0,1658.0,31.62,51.1
3.0,1600.0,1171.125,1645.375,2022.625,1959.5,1718.375,566.375,2198.875,2052.875,1661.25,31.63,51.05
3.1,1600.125,1174.375,1645.5,2024.125,1960.375,1723.75,567.0,2201.5,2058.375,1666.25,31.6,51.11
3.2,1600.375,1179.5,1645.625,2026.125,1961.875,1729.75,568.0,2205.125,2065.875,1673.25,31.62,51.07
3.3,1600.75,1186.375,1645.75,2028.5,1963.875,1736.25,569.125,2209.625,2075.625,1682.125,31.6,51.09
