time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1564.0,1591.5,1747.375,1886.75,2268.375,1714.875,517.25,2251.5,1643.75,1433.5,32.93,43.81
0.1,1563.75,1591.25,1747.25,1886.625,2268.5,1714.875,517.125,2251.25,1643.75,1433.375,32.94,43.83
0.2,1563.625,1590.875,1747.25,1886.375,2268.5,1715.125,517.0,2250.875,1643.625,1433.25,32.96,43.83
0.3,1563.375,1590.75,1747.25,1886.25,2268.5,1715.25,516.875,2250.625,1643.625,1433.125,32.94,43.85
0.4,1563.25,1590.5,1747.25,1886.125,2268.5,1715.25,516.75,2250.375,1643.625,1433.0,32.94,43.85
0.5,1563.125,1590.25,1747.25,1886.0,2268.5,1715.375,516.625,2250.25,1643.5,1432.875,32.94,43.8
0.6,1562.875,1590.0,1747.25,1885.875,2268.625,1715.5,516.25,2250.0,1643.5,1432.75,32.96,43.84
0.7,1562.75,1589.875,1747.125,1885.625,2268.625,1715.625,516.25,2249.75,1643.375,1432.75,32.96,43.88
0.8,1562.625,1589.75,1747.125,1885.5,2268.75,1715.75,516.0,2249.5,1643.375,1432.625,32.96,43.89
0.9,1562.375,1589.5,1747.0,1885.375,2268.75,1715.75,516.0,2249.25,1643.375,1432.5,32.96,43.92
1.0,1562.125,1589.25,1746.875,1885.25,2268.75,1716.0,515.875,2249.0,1643.5,1432.375,32.99,43.9
1.1,1562.0,1589.0,1747.0,1885.125,2268.875,1716.125,515.625,2248.875,1643.5,1432.375,32.94,43.93
1.2,1561.875,1588.75,1746.875,1885.0,2268.875,1716.25,515.5,2248.5,1643.5,1432.25,32.94,43.96
1.3,1561.75,1588.5,1746.875,1884.875,2268.875,1716.375,515.375,2248.25,1643.375,1432.125,32.94,43.99
1.4,1561.5,1588.25,1746.875,1884.75,2269.0,1716.5,515.25,2248.125,1643.375,1432.125,32.97,43.99
1.5,1561.25,1588.125,1746.875,1884.625,2269.0,1716.625,515.25,2247.875,1643.375,1432.0,32.96,43.98
1.6,1561.125,1587.875,1746.875,1884.5,2269.125,1716.75,515.0,2247.75,1643.25,1432.0,32.96,44.01
1.7,1561.0,1587.625,1746.75,1884.5,2269.125,1716.75,514.875,2247.5,1643.25,1431.875,32.94,43.98
1.8,1560.75,1587.5,1746.75,1884.375,2269.25,1716.875,514.75,2247.25,1643.25,1431.75,32.96,44.03
1.9,1560.625,1587.25,1746.625,1884.125,2269.375,1717.125,514.625,2247.0,1643.25,1431.75,32.97,44.02
2.0,1560.5,1587.125,1746.75,1884.125,2269.375,1717.125,514.5,2246.875,1643.375,1431.75,32.97,44.05
2.1,1560.5,1586.875,1746.75,1884.0,2269.5,1717.375,514.375,2246.625,1643.5,1431.75,32.97,44.05
2.2,1560.5,1586.625,1746.75,1883.875,2269.625,1717.375,514.25,2246.375,1643.625,1431.75,32.99,44.09
2.3,1560.375,1586.5,1746.75,1883.875,2269.75,1717.625,514.0,2246.125,1643.875,1431.875,32.96,44.1
2.4,1560.25,1586.375,1746.75,1883.875,2269.875,1717.875,514.0,2246.0,1644.0,1431.875,32.97,44.13
2.5,1560.125,1586.25,1746.75,1883.875,2270.0,1718.625,513.75,2245.875,1644.25,1432.0,32.97,44.13
2.6,1560.0,1586.25,1746.625,1884.125,2270.25,1719.875,513.625,2245.75,1644.5,1432.125,32.99,44.14
2.7,1559.875,1586.125,1746.625,1884.625,2270.5,1721.625,513.625,2245.75,1644.875,1432.375,32.97,44.13
2.8,1559.75,1586.125,1746.5,1885.375,2270.75,1724.0,513.5,2246.125,1645.625,1432.875,32.97,44.16
2.9,1559.75,1586.375,1746.625,1886.375,2271.125,1726.875,513.375,2246.75,1646.375,1433.875,33.0,44.21
3.0,1559.75,1586.625,1746.625,1887.875,2271.625,1730.375,513.625,2247.75,1647.5,1435.25,32.96,44.2
3.1,1559.75,1587.25,1746.625,1889.625,2272.25,1734.375,514.0,2249.375,1648.875,1437.125,32.97,44.23
3.2,1559.875,1588.0,1746.625,1891.875,2273.25,1738.625,514.25,2251.375,1650.625,1439.625,32.99,44.27
3.3,1560.0,1589.25,1746.75,1894.5,2274.25,1743.5,514.875,2254.0,1652.875,1442.875,32.96,44.31
3.4,1560.375,1590.75,1746.875,1897.5,2275.625,1748.625,515.5,2257.125,1655.625,1446.5,32.97,44.4
3.5,1560.75,1592.5,1747.125,1901.0,2277.125,1754.125,516.25,2260.75,1659.0,1450.75,32.97,44.49
3.6,1561.375,1594.75,1747.375,1904.75,2278.875,1760.125,517.25,2264.75,1663.125,1455.375,32.97,44.52
3.7,1562.25,1597.375,1747.875,1909.0,2280.75,1766.375,518.375,2269.375,1667.875,1460.5,32.96,44.59
3.8,1563.25,1600.375,1748.25,1913.625,2283.0,1773.0,519.625,2274.375,1673.25,1466.125,32.96,44.69
3.9,1564.5,1603.875,1748.875,1918.5,2285.25,1779.875,520.875,2279.875,1679.25,1472.375,32.99,44.77
4.0,1565.875,1607.875,1749.625,1923.75,2287.75,1786.875,522.375,2285.625,1685.625,1479.0,32.97,44.85
4.1,1567.625,1612.375,1750.5,1929.25,2290.375,1794.125,524.0,2292.0,1692.625,1486.125,32.96,44.93
4.2,1569.625,1617.375,1751.5,1935.25,2293.25,1801.625,525.625,2298.625,1700.125,1493.75,32.97,45.03
4.3,1571.75,1622.75,1752.5,1941.5,2296.25,1809.0,527.5,2305.75,1708.0,1501.75,32.97,45.11
4.4,1574.25,1628.875,1753.625,1948.125,2299.375,1816.625,529.25,2313.25,1716.375,1510.25,32.96,45.22
4.5,1576.875,1635.375,1754.875,1955.125,2302.75,1824.25,531.25,2321.25,1725.25,1519.125,32.96,45.27
4.6,1579.875,1642.25,1756.25,1962.25,2306.25,1831.75,533.375,2329.625,1734.5,1528.375,32.96,45.4
4.7,1583.0,1649.75,1757.625,1969.75,2309.75,1839.5,535.75,2338.25,1744.0,1537.875,32.97,45.52
4.8,1586.5,1657.625,1759.25,1977.625,2313.375,1847.125,538.0,2347.25,1753.75,1547.875,33.0,45.57
4.9,1590.125,1665.875,1760.875,1985.625,2317.0,1854.75,540.5,2356.5,1763.75,1558.0,32.96,45.72
5.0,1594.125,1674.75,1762.625,1994.125,2320.875,1862.375,543.125,2366.125,1773.875,1568.625,32.97,45.8
5.1,1598.375,1684.0,1764.375,2002.75,2324.75,1869.875,545.625,2376.0,1784.375,1579.375,32.99,45.94
5.2,1602.875,1693.75,1766.25,2011.625,2328.625,1877.25,548.5,2386.125,1794.625,1590.375,32.97,45.95
5.3,1607.625,1703.875,1768.25,2020.75,2332.625,1884.875,551.375,2396.625,1805.25,1601.625,32.99,46.14
5.4,1612.625,1714.5,1770.125,2030.125,2336.75,1892.25,554.375,2407.375,1815.875,1613.25,32.97,46.22
5.5,1617.75,1725.25,1772.25,2039.625,2340.875,1899.375,557.375,2418.125,1826.375,1624.75,32.96,46.3
5.6,1623.125,1736.375,1774.25,2049.375,2345.0,1906.5,560.625,2429.125,1837.125,1636.375,32.97,46.47
5.7,1628.875,1747.875,1776.5,2059.25,2349.125,1913.5,564.0,2440.5,1848.0,1648.25,32.97,46.57
5.8,1634.75,1759.5,1778.75,2069.375,2353.25,1920.375,567.25,2451.875,1858.625,1660.0,32.96,46.64
5.9,1640.875,1771.625,1781.0,2079.75,2357.5,1927.125,570.75,2463.375,1869.375,1672.0,32.99,46.72
6.0,1647.25,1784.0,1783.375,2090.25,2361.625,1933.625,574.375,2475.0,1880.125,1684.0,32.96,46.82
6.1,1653.875,1796.375,1785.75,2100.75,2365.875,1940.125,578.0,2486.5,1890.625,1695.875,32.97,46.95
6.2,1660.625,1809.25,1788.125,2111.5,2370.0,1946.5,581.875,2498.375,1901.25,1707.875,32.97,47.0
6.3,1667.5,1822.0,1790.5,2122.125,2374.0,1952.75,585.75,2510.0,1911.75,1719.75,32.99,47.11
6.4,1674.625,1835.375,1793.0,2133.125,2378.125,1958.75,589.75,2521.875,1922.25,1731.625,32.97,47.21
6.5,1682.0,1848.5,1795.5,2144.0,2382.25,1964.625,593.75,2533.75,1932.75,1743.5,32.97,47.31
6.6,1689.375,1861.875,1798.0,2154.875,2386.25,1970.375,597.875,2545.5,1943.0,1755.125,32.97,47.4
6.7,1697.125,1875.5,1800.5,2165.875,2390.25,1975.875,602.25,2557.25,1953.25,1766.75,32.97,47.46
6.8,1705.0,1889.0,1803.0,2176.875,2394.25,1981.375,606.625,2569.125,1963.25,1778.25,32.96,47.59
6.9,1713.0,1902.625,1805.625,2187.625,2398.0,1986.625,611.0,2580.625,1973.25,1789.375,32.97,47.67
7.0,1721.125,1916.375,1808.25,2198.75,2401.875,1991.875,615.625,2592.375,1983.0,1800.75,32.97,47.74
7.1,1729.375,1930.25,1810.75,2209.625,2405.5,1996.875,620.125,2604.0,1992.625,1811.875,32.96,47.86
7.2,1737.625,1944.0,1813.375,2220.375,2409.125,2001.625,624.75,2615.25,2002.0,1822.875,32.97,47.93
7.3,1746.125,1957.875,1815.875,2231.25,2412.75,2006.5,629.5,2626.75,2011.25,1833.75,33.0,48.03
7.4,1754.625,1971.875,1818.5,2242.0,2416.25,2011.0,634.375,2638.0,2020.375,1844.5,32.99,48.08
7.5,1763.125,1985.5,1821.0,2252.75,2419.75,2015.375,639.25,2649.125,2029.25,1855.0,32.99,48.18
7.6,1771.75,1999.375,1823.5,2263.25,2423.125,2019.75,644.25,2660.125,2038.125,1865.5,32.99,48.28
7.7,1780.625,2013.125,1826.125,2273.875,2426.375,2024.0,649.25,2671.125,2046.875,1875.875,32.99,48.36
7.8,1789.375,2026.625,1828.5,2284.125,2429.625,2028.0,654.25,2681.875,2055.375,1885.875,32.94,48.43
7.9,1798.25,2040.25,1831.125,2294.5,2432.75,2032.0,659.375,2692.5,2063.75,1896.0,32.96,48.5
8.0,1807.25,2053.875,1833.625,2304.625,2435.875,2035.875,664.5,2703.125,2071.875,1905.875,32.96,48.58
8.1,1816.125,2067.25,1836.0,2314.625,2439.0,2039.625,669.75,2713.5,2079.875,1915.5,33.0,48.63
8.2,1825.125,2080.75,1838.375,2324.625,2441.875,2043.25,675.0,2723.875,2087.75,1925.125,32.99,48.68
8.3,1834.125,2094.125,1840.75,2334.5,2444.875,2046.75,680.375,2734.125,2095.5,1934.375,32.96,48.81
8.4,1843.125,2107.125,1843.0,2344.125,2447.625,2050.25,685.75,2744.0,2103.0,1943.5,32.96,48.87
8.5,1852.125,2120.25,1845.25,2353.75,2450.375,2053.5,691.25,2753.875,2110.375,1952.5,32.99,48.91
8.6,1861.125,2133.125,1847.5,2363.25,2453.0,2056.75,696.625,2763.5,2117.625,1961.25,32.96,48.96
8.7,1870.0,2145.75,1849.75,2372.375,2455.5,2059.875,702.0,2772.875,2124.75,1969.875,32.97,49.07
8.8,1879.0,2158.5,1851.875,2381.5,2458.0,2062.875,707.625,2782.125,2131.75,1978.375,32.97,49.1
8.9,1887.875,2171.0,1854.125,2390.625,2460.5,2065.875,713.125,2791.25,2138.5,1986.625,32.99,49.17
9.0,1896.75,2183.25,1856.25,2399.375,2463.0,2068.875,718.625,2800.125,2145.125,1994.75,32.97,49.18
9.1,1905.625,2195.5,1858.375,2408.125,2465.25,2071.5,724.25,2808.875,2151.625,2002.875,32.99,49.28
9.2,1914.375,2207.625,1860.375,2416.75,2467.625,2074.125,730.0,2817.375,2158.0,2010.875,32.96,49.32
9.3,1923.0,2219.5,1862.375,2425.125,2469.875,2076.75,735.625,2825.875,2164.25,2018.5,32.97,49.38
9.4,1931.625,2231.375,1864.375,2433.375,2472.0,2079.25,741.375,2834.125,2170.375,2026.125,32.97,49.5
9.5,1940.125,2242.75,1866.25,2441.375,2474.125,2081.75,746.875,2842.0,2176.375,2033.5,32.99,49.5
9.6,1948.625,2254.25,1868.25,2449.375,2476.25,2084.25,752.625,2850.0,2182.375,2040.875,32.97,49.56
9.7,1957.125,2265.5,1870.0,2457.125,2478.25,2086.75,758.25,2857.75,2188.125,2048.0,32.97,49.61
9.8,1965.375,2276.5,1871.875,2464.75,2480.125,2089.125,764.0,2865.375,2193.75,2055.0,32.97,49.7
9.9,1973.75,2287.375,1873.75,2472.375,2482.0,2091.375,769.75,2872.75,2199.25,2061.75,32.99,49.71
10.0,1981.75,2298.25,1875.5,2479.75,2483.875,2093.5,775.375,2880.125,2204.75,2068.625,32.99,49.76
10.1,1989.875,2308.75,1877.125,2487.0,2485.625,2095.625,781.0,2887.125,2209.875,2075.25,32.99,49.83
10.2,1997.75,2319.25,1878.75,2494.125,2487.375,2097.625,786.75,2894.125,2215.0,2081.75,32.97,49.86
10.3,2005.625,2329.625,1880.375,2501.125,2489.125,2099.625,792.5,2900.875,2220.125,2088.25,32.97,49.94
10.4,2013.375,2339.625,1882.0,2507.875,2490.875,2101.5,798.0,2907.5,2225.125,2094.5,32.96,49.96
10.5,2021.125,2349.625,1883.5,2514.625,2492.5,2103.5,803.75,2914.0,2230.0,2100.625,32.97,49.99
10.6,2028.75,2359.375,1885.125,2521.125,2494.125,2105.375,809.5,2920.5,2234.875,2106.75,32.96,50.06
10.7,2036.25,2369.0,1886.625,2527.5,2495.75,2107.125,815.125,2926.625,2239.5,2112.625,33.0,50.12
10.8,2043.75,2378.375,1888.125,2533.75,2497.25,2108.875,820.875,2932.75,2244.125,2118.5,32.99,50.17
10.9,2051.0,2387.75,1889.625,2540.0,2498.75,2110.5,826.625,2938.75,2248.75,2124.25,32.96,50.19
11.0,2058.125,2396.75,1891.0,2546.0,2500.125,2112.125,832.0,2944.625,2253.125,2129.75,33.0,50.22
11.1,2065.25,2405.875,1892.25,2551.875,2501.5,2113.625,837.75,2950.375,2257.375,2135.25,32.99,50.28
11.2,2072.25,2414.75,1893.625,2557.75,2502.875,2115.125,843.375,2956.0,2261.75,2140.625,32.99,50.33
11.3,2079.125,2423.375,1894.875,2563.375,2504.25,2116.5,849.125,2961.5,2265.75,2145.875,32.97,50.33
11.4,2085.75,2432.0,1896.125,2569.0,2505.5,2118.0,854.625,2966.75,2269.875,2151.125,32.97,50.41
11.5,2092.5,2440.25,1897.375,2574.375,2506.75,2119.375,860.125,2972.0,2273.875,2156.25,32.97,50.43
11.6,2099.125,2448.375,1898.625,2579.625,2508.0,2120.75,865.875,2977.125,2277.75,2161.25,32.99,50.51
11.7,2105.625,2456.5,1899.875,2584.875,2509.25,2122.125,871.25,2982.125,2281.75,2166.25,33.0,50.5
11.8,2112.0,2464.25,1901.125,2590.0,2510.25,2123.5,876.75,2987.0,2285.375,2171.0,32.99,50.47
11.9,2118.25,2472.125,1902.125,2595.0,2511.5,2124.875,882.125,2991.75,2289.125,2175.75,32.96,50.56
12.0,2124.375,2479.75,1903.25,2600.0,2512.625,2126.125,887.75,2996.5,2292.625,2180.5,32.97,50.6
12.1,2130.5,2487.375,1904.375,2604.75,2513.75,2127.375,893.125,3001.125,2296.25,2185.0,32.97,50.61
12.2,2136.5,2494.625,1905.375,2609.5,2514.75,2128.5,898.5,3005.5,2299.75,2189.5,32.99,50.65
12.3,2142.375,2502.0,1906.5,2614.125,2515.75,2129.625,904.0,3009.875,2303.125,2193.875,32.97,50.69
12.4,2148.125,2509.0,1907.5,2618.75,2516.75,2130.75,909.25,3014.25,2306.5,2198.25,32.99,50.77
12.5,2153.875,2516.0,1908.5,2623.125,2517.75,2131.75,914.5,3018.375,2309.875,2202.5,32.97,50.7
12.6,2159.5,2522.75,1909.5,2627.5,2518.625,2132.875,919.875,3022.5,2313.125,2206.75,32.97,50.75
12.7,2165.0,2529.375,1910.5,2631.75,2519.625,2133.875,925.0,3026.5,2316.375,2210.75,32.99,50.79
12.8,2170.5,2536.0,1911.375,2635.875,2520.5,2135.0,930.125,3030.5,2319.5,2214.875,32.99,50.82
12.9,2175.875,2542.5,1912.375,2640.0,2521.375,2136.0,935.5,3034.375,2322.5,2218.75,32.96,50.83
13.0,2181.125,2548.75,1913.25,2644.0,2522.25,2136.875,940.625,3038.125,2325.5,2222.625,32.99,50.91
13.1,2186.25,2555.125,1914.125,2648.0,2523.125,2137.75,945.625,3041.875,2328.5,2226.5,33.0,50.91
13.2,2191.375,2561.25,1914.875,2652.0,2523.875,2138.625,950.625,3045.5,2331.375,2230.375,32.97,50.92
13.3,2196.375,2567.25,1915.75,2655.75,2524.75,2139.5,955.625,3049.0,2334.25,2234.0,32.96,50.96
